Deleted /user/diggi/map-reduce/job-1
AM General	Hummer	8	42933.0	139900.0	72454.62	[1995, 1997, 1998, 1999, 2000]
AMC	Concord	1	13999.0	13999.0	13999.0	[1980]
AMC	Javelin	3	25000.0	37995.0	32815.0	[1969, 1974]
AMC	Rambler American	3	10295.0	20900.0	15063.33	[1964, 1966]
AMC	AMX	3	28500.0	49990.0	37796.67	[1968, 1969, 1970]
Acura	RDX	3364	4695.0	49525.0	34819.48	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]
Acura	TL	496	484.0	161462.0	10122.66	[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]
Acura	ILX	1197	6995.0	35920.0	24837.8	[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]
Acura	TLX	1763	10995.0	50945.0	30559.38	[2015, 2016, 2017, 2018, 2019, 2020]
Acura	MDX	4414	1900.0	63745.0	39498.66	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]
