Deleted /user/diggi/map-reduce/job-1
AM General	Hummer	3	59500.0	99950.0	74483.0	[1995, 1999, 2000]
AMC	AMX	2	32500.0	34900.0	33700.0	[1968, 1969]
AMC	Rambler American	1	13995.0	13995.0	13995.0	[1964]
AMC	Rambler Classic	1	4000.0	4000.0	4000.0	[1961]
AMC	Javelin	1	25000.0	25000.0	25000.0	[1974]
Acura	TLX	720	13398.0	50945.0	30225.21	[2015, 2016, 2017, 2018, 2019, 2020]
Acura	RLX	48	11241.0	56325.0	38880.5	[2014, 2015, 2016, 2017, 2018, 2020]
Acura	MDX	1798	2500.0	63745.0	39556.67	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]
Acura	RDX	1362	4499.0	49525.0	35144.96	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]
Acura	ILX	480	9999.0	39305.0	24810.12	[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]
